length,dia,pre,mass,quality,enthalpy,temp,outcome
0.0048,0.716,100,665.9,0.59,317,23.94,1829
0.00384,0.799,7840,3862,0.268,174,260.22,2620
0.00384,0.799,7840,3934,0.165,402,211.74,3061
0.00384,0.799,7840,3934,0.214,271,240.12,2791
0.00384,0.799,7840,4054,0.172,319,229.87,2840
0.00384,0.799,7840,4990,0.156,290,236.08,3130
0.00384,0.799,7840,4990,0.227,155,264.05,2930
0.00384,0.799,7840,5013,0.089,533,182.29,4000
0.00384,0.799,7840,5013,0.105,479,194.54,3830
0.00384,0.799,7840,5013,0.129,347,223.8,3261
0.00384,0.799,7840,5013,0.198,199,255.13,2970
0.00384,0.799,7840,7460,0.034,542,180.24,5320
0.00384,0.799,7840,7460,0.041,497,190.48,5011
0.00384,0.799,7840,7460,0.043,457,199.49,4711
0.00384,0.799,7840,7460,0.05,416,208.64,4420
0.00384,0.799,7840,7460,0.055,384,215.71,4200
0.00384,0.799,7840,7460,0.13,194,256.15,3480
0.00384,0.799,7840,7460,0.167,145,266.05,3520
0.00384,1.549,7840,3958,0.32,174,260.22,1580
0.00607,0.792,7840,1604,0.312,384,215.71,2620
0.00607,0.792,7840,1604,0.357,300,233.95,2520
0.00607,0.792,7840,2199,0.21,393,213.73,2940
0.00607,0.792,7840,2199,0.318,47,285,2210
0.00607,0.792,7840,2208,0.154,568,174.28,3330
0.00607,0.792,7840,2698,0.079,630,159.97,3830
0.00607,0.792,7840,2688,0.159,351,222.93,3000
0.00607,0.792,7840,3207,0.065,529,183.21,3820
0.00607,0.792,7840,3207,0.096,425,206.64,3461
0.00607,0.792,7840,3207,0.124,323,229,3066
0.00607,0.792,7840,3207,0.157,228,249.14,2800
0.00607,0.792,7840,4003,0.029,461,198.59,3880
0.00607,0.792,7840,3994,0.075,309,232.02,3211
0.00607,0.792,7840,4013,0.144,134,268.24,2620
0.00607,0.792,7840,4013,0.189,36,287.04,2380
0.00607,0.792,7840,4982,-0.024,551,178.18,4890
0.00607,0.792,7840,4982,0.004,457,199.49,4440
0.00607,0.792,7840,5002,0.044,319,229.87,3700
0.00607,0.792,7840,4963,0.074,214,252.04,3050
0.00607,0.792,7840,5011,0.109,109,273.15,2580
0.0078,0.789,7840,995,0.288,780,124.82,2960
0.0078,0.789,7840,995,0.343,647,156.02,2820
0.0078,0.789,7840,995,0.387,515,186.39,2660
0.0078,0.789,7840,983,0.429,439,203.52,2580
0.0078,0.776,7840,1599,0.144,652,154.86,3461
0.00807,0.778,7840,1613,0.249,370,218.78,3000
0.00807,0.778,7840,1608,0.273,271,240.12,2790
0.00807,0.778,7840,2205,0.018,784,123.88,4600
0.00807,0.778,7840,2216,0.087,493,191.38,3540
0.00807,0.778,7840,2200,0.141,347,223.8,3130
0.00807,0.778,7840,2705,0.007,634,159.04,4520
0.00807,0.778,7840,2662,0.059,479,194.54,3861
0.00807,0.778,7840,2678,0.109,300,233.95,3170
0.00807,0.778,7840,3199,-0.028,647,156.02,4990
0.00807,0.778,7840,3210,-0.004,502,189.34,4140
0.00802,1.57,7840,1001,0.577,617,162.98,1850
0.00802,1.57,7840,1007,0.601,502,189.34,1750
0.00802,1.57,7840,1001,0.622,351,222.93,1589
0.00802,1.57,7840,1001,0.636,165,262.04,1389
0.00802,1.57,7840,1023,0.633,52,284.06,1269
0.00802,1.57,7840,1595,0.334,695,144.82,2389
0.00802,1.57,7840,1606,0.398,439,203.52,2080
0.00802,1.57,7840,1612,0.434,150,265.05,1600
0.00802,1.57,7840,1606,0.46,47,285,1470
0.00802,1.57,7840,2206,0.247,524,184.35,2480
0.00802,1.57,7840,2206,0.267,434,204.63,2320
0.00802,1.57,7840,2206,0.306,305,232.87,2100
0.00802,1.57,7840,2706,0.136,612,164.14,2810
0.00802,1.57,7840,2717,0.178,479,194.54,2560
0.00802,1.57,7840,2706,0.215,342,224.89,2260
0.00802,1.57,7840,2728,0.28,145,266.05,1920
0.00802,1.595,7840,2706,0.132,634,159.04,2820
0.00802,1.595,7840,2706,0.185,452,200.61,2539
0.00802,1.595,7840,2706,0.214,314,230.94,2139
0.00802,1.595,7840,2695,0.276,174,260.22,1960
0.00802,1.595,7840,2695,0.32,20,289.98,1650
0.00384,0.799,9800,3982,0.112,489,212.2,3070
0.00384,0.799,9800,4054,0.118,439,223.2,2920
0.00384,0.799,9800,3910,0.141,387,234.46,2710
0.00384,0.799,9800,3958,0.159,335,245.52,2600
0.00384,0.799,9800,3886,0.198,226,267.89,2310
0.00384,0.799,9800,4006,0.208,175,277.93,2189
0.00384,0.799,9800,5013,0.033,620,182.7,4000
0.00384,0.799,9800,5013,0.055,553,197.9,3770
0.00384,0.799,9800,5013,0.081,457,219.26,3400
0.00384,0.799,9800,5013,0.088,406,230.37,3150
0.00384,0.799,9800,5013,0.117,315,249.71,2850
0.00384,0.799,9800,5013,0.129,271,258.8,2710
0.00384,0.799,9800,4990,0.16,206,271.87,2550
0.00384,0.799,9800,5013,0.196,149,282.92,2489
0.00384,0.799,9800,7460,0.013,480,214.19,4450
0.00384,0.799,9800,7484,0.047,335,245.52,3590
0.00384,0.799,9800,7460,0.052,291,254.69,3250
0.00384,1.549,9800,3982,0.218,530,203.07,2020
0.00384,1.549,9800,3958,0.224,471,216.18,1889
0.00384,1.549,9800,3934,0.234,429,225.38,1810
0.00384,1.549,9800,3982,0.269,261,260.84,1530
0.00384,1.549,9800,3958,0.289,206,271.87,1450
0.00384,1.549,9800,3958,0.306,154,281.97,1380
0.00384,1.549,9800,4006,0.292,165,279.86,1389
0.0051,2.6,9800,1986,0.382,687,167.3,1139
